pay_category_name,category,sub_category
Casual - Phol x 175%,Penalty rate,Penalty rate
Casual - Early Morning shift,Penalty rate,Penalty rate
Salary Public Holiday - Not Worked,Penalty rate,Penalty rate
Fair and Travel Allowance,Allowances,Allowances
QCF L2-(01) Mon-Fri (06:00-17:59),Base rate,Base rate
Public Holiday (New Year's Day),Penalty rate,Public Holiday
Payment in Lieu of Notice (Type O),Base rate,Base rate
"Level 2 - Sat, Sun & Public Hols",Penalty rate,Saturday
-- Manuf - 9.18192.3 16 - Not in a,Penalty rate,Penalty rate
Permanent Overtime x 2.0 inc. All-purpose Allowances,Penalty rate,Penalty rate
Overtime @ Double,Penalty rate,Penalty rate
18 years with RSA - Weeknight Hours,Penalty rate,Evening/Night
WMA Permanent Sunday 200%,Penalty rate,Sunday
J2204 Site Allowance $8.00 Queens Wrf,Allowances,Allowances
Casual - Overtime - Public Holiday Worked (other than Easter or Christmas) - AG2022/396,Penalty rate,Penalty rate
Working away allowances,Allowances,Allowances
On Parental Leave,Leave,Leave
CleanA - (Not Automated) - Leading Hand Allowance (+20 Employees),Allowances,Allowances
NEA - Qualification Allowance - atleast 2 units of competency from Diploma or Advanced Diploma (EN),Allowances,Allowances
2022 Welfare PPT L3P3 P/H,Penalty rate,Public Holiday
Accrued Holiday Leave,Leave,Leave
Local Gov Permanent - Saturday after 2 hours OT x 2.0 FR,Penalty rate,Saturday
Genuine Redundancy Payment,Others,Severance
Overtime Hours Dbl (exempt from super),Penalty rate,Penalty rate
Travel/Meal Allowance (Tax Exempt),Allowances,Allowances
MV (Car or Fuel Allowance),Allowances,Allowances
Advertiser - Saturday Night,Penalty rate,Saturday
Roster OT DT,Penalty rate,Penalty rate
22 JPM2 Chef Sun,Base rate,Base rate
SCHADS - CAS - SW - Home Care - 1-July-2020 - M-Sat Daily OT - After 2 Hours,Penalty rate,Saturday
ZZZAdditional Hours (Projects),Penalty rate,Penalty rate
Consultant Fees,Base rate,Base rate
Overtime over 38 hours,Penalty rate,Penalty rate
-- Restaurant - Casual Base,Base rate,Base rate
Jul22 L2 Overtime Monday to Saturday (over 2 hours) or Sunday,Penalty rate,Penalty rate
Support Work Saturday,Penalty rate,Saturday
Part-time - Ordinary Hours,Base rate,Base rate
Fire Warden Allowance MA000010,Allowances,Allowances
Saturday - L4 Reception G3 ,Penalty rate,Saturday
Front Office L3 G2 - xPH Not Worked (PT)*,Penalty rate,Penalty rate
Casual Ordinary Hours (no loading),Base rate,Base rate
2.4 Saturday Rate Part/Full Time,Penalty rate,Saturday
